PRODUTO	PREÇO	LOCALIDADE	PÁGINA NA LOJA
Galpão à venda em Navegantes, 1.426m² privativos em condomínio!	R$5.887.810,00	Navegantes, Volta Grande	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-a-venda-em-navegantes-1-426m-privativos-em-condominio-1387378242
Galpão com 686m² em Fase Final de Construção na Mulde - Indaial	R$7.900,00	Timbó	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-com-686m-em-fase-final-de-construcao-na-mulde-indaial-1387378233
Galpão Locação bairro Encano em Indaial - 850m²	R$12.500,00	Indaial, Encano	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-locacao-bairro-encano-em-indaial-850m-1387378221
Galpão Locação bairro Passo Manso em Blumenau - 2382m²	R$35.730,00	Blumenau, Passo Manso	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-locacao-bairro-passo-manso-em-blumenau-2382m-1387378197
Galpão para Locação com 462 m² em Balneário Camboriú	R$15.000,00	Balneário Camboriú, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-com-462-m-em-balneario-camboriu-1387378181
Galpão à Venda em Itajaí 1.725m² de Espaço Funcional para Sua Empresa!	R$10.353.900,00	Itajaí, Canhanduba	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-a-venda-em-itajai-1-725m-de-espaco-funcional-para-sua-empresa-1387378173
Galpão para Locação no Bairro Municípios Balneário Camboriú	R$23.000,00	Balneário Camboriú, Municípios	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-no-bairro-municipios-balneario-camboriu-1387378142
Galpão Locação no Bairro Santa Terezinha em Gaspar - 930m²	R$20.000,00	Gaspar, Santa Terezinha	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-locacao-no-bairro-santa-terezinha-em-gaspar-930m-1387378139
Galpão à Venda com 733 m² na Itoupavazinha em Blumenau	R$2.700.000,00	Blumenau, Itoupavazinha	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-a-venda-com-733-m-na-itoupavazinha-em-blumenau-1387378116
Galpão Locação bairro Velha Central em Blumenau - 1.325m²	R$20.000,00	Blumenau, Velha Central	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-locacao-bairro-velha-central-em-blumenau-1-325m-1387378111
Galpão para Locação em Blumenau com Área construída: 255 m²	R$6.600,00	Blumenau, Vila Nova	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-em-blumenau-com-area-construida-255-m-1387377798
Galpão Comercial bairro Ponta Aguda Blumenau - 3.300 m²	R$70.000,00	Blumenau, Ponta Aguda	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-comercial-bairro-ponta-aguda-blumenau-3-300-m-1387377735
Galpão 300m² em CONSTRUÇÃO no Bairro Cordeiros, Itajaí	R$12.000,00	Itajaí, Cordeiros	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-300m-em-construcao-no-bairro-cordeiros-itajai-1387377730
Galpão para locação/Venda em Blumenau - Bairro Valparaíso	R$8.000.000,00	Blumenau, Valparaiso	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-venda-em-blumenau-bairro-valparaiso-1387377725
Galpão Locação no Bairro Santa Terezinha em Gaspar - 930m²	R$4.700.000,00	Gaspar, Santa Terezinha	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-locacao-no-bairro-santa-terezinha-em-gaspar-930m-1387377726
Galpão para Locação em Blumenau 2.800m² no Salto Norte	R$50.000,00	Blumenau, Salto do Norte	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-em-blumenau-2-800m-no-salto-norte-1387377721
Galpão para Locação em Blumenau 483m² no Salto Norte	R$16.000,00	Blumenau, Salto do Norte	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-em-blumenau-483m-no-salto-norte-1387377723
Galpão à Venda Itajaí 3.695m² Pronto para Grandes Negócios!	R$22.171.440,00	Itajaí, Canhanduba	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-a-venda-itajai-3-695m-pronto-para-grandes-negocios-1387377717
Galpão de 3.000m² para Alugar em Ilhota na BR 470 | Novo e Pronto para Uso	R$80.000,00	Ilhota	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-de-3-000m-para-alugar-em-ilhota-na-br-470-novo-e-pronto-para-uso-1387377719
Galpão de 2400m² Pronto para Uso | Oportunidade Ideal para Empresas	R$70.000,00	Brusque, Limeira Baixa	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-de-2400m-pronto-para-uso-oportunidade-ideal-para-empresas-1387377715
Galpão com Casa Comercial à venda no bairro Passo Manso em Blumenau - 565m²	R$2.700.000,00	Blumenau, Passo Manso	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-com-casa-comercial-a-venda-no-bairro-passo-manso-em-blumenau-565m-1387377703
Galpão/Depósito/Armazém com Escritório à Venda no Salto Weissbach	R$1.850.000,00	Blumenau, Água Verde	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-deposito-armazem-com-escritorio-a-venda-no-salto-weissbach-1387377694
Galpão Comercial Amplo - Excelente - Localização Privilegiada!	R$60.000,00	Brusque, Nova Brasília	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-comercial-amplo-excelente-localizacao-privilegiada-1387377695
Galpão para Locação em Blumenau 462m² no Salto Norte	R$16.000,00	Blumenau, Salto do Norte	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-em-blumenau-462m-no-salto-norte-1387377688
Excelente Galpão no Badenfurt, a 750 m da BR-470!	R$42.000,00	Blumenau, Badenfurt	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/excelente-galpao-no-badenfurt-a-750-m-da-br-470-1387377682
Sala/Escritório no Bairro Garcia em Blumenau com 88,6 m²	R$890.000,00	Blumenau, Garcia	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-escritorio-no-bairro-garcia-em-blumenau-com-88-6-m-1387377676
Galpão Venda/Locação Itoupava Norte Blumenau - 5.350m²	R$70.000,00	Blumenau, Itoupava Norte	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-venda-locacao-itoupava-norte-blumenau-5-350m-1387377669
Galpão para locação/Venda no bairro Valparaíso - Blumenau	R$44.000,00	Blumenau, Valparaiso	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-venda-no-bairro-valparaiso-blumenau-1387377673
Galpão Aluguel bairro Itoupava Central Blumenau - 720m²	R$14.900,00	Blumenau, Itoupava Central	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-aluguel-bairro-itoupava-central-blumenau-720m-1387377666
Galpão para locação/Venda em Blumenau - Bairro Valparaíso	R$25.000,00	Blumenau, Valparaiso	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-venda-em-blumenau-bairro-valparaiso-1387377662
Galpão para Locação 4.900 m² em Blumenau	R$60.000,00	Blumenau, Itoupavazinha	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-4-900-m-em-blumenau-1387377653
Prédio Comercial para Locação com 700 m² no Centro de Balneário Camboriú	R$30.000,00	Balneário Camboriú, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/predio-comercial-para-locacao-com-700-m-no-centro-de-balneario-camboriu-1387377648
Galpão para Locação com 150 m² em Balneário Camboriú	R$6.000,00	Balneário Camboriú, Nova Esperança	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-com-150-m-em-balneario-camboriu-1387377643
Galpão 348m² à Venda no Bairro Nova Esperança - Balneário Camboriú	R$3.500.000,00	Balneário Camboriú, Nova Esperança	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-348m-a-venda-no-bairro-nova-esperanca-balneario-camboriu-1387377644
"Oportunidade Imperdível: Ponto Comercial ""Chave na Mão"" em Campinas SJ"	R$178.000,00	Florianópolis, Capoeiras	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/oportunidade-imperdivel-ponto-comercial-chave-na-mao-em-campinas-sj-1379661061
Clínica de Bronzeamento Artificial!	R$95.000,00	São José, Roçado	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/clinica-de-bronzeamento-artificial-1385619279
Sala locação Joinville bairro Santo Antonio, amplo estacionamento, 1 andar, averbada	R$1.495,00	Joinville, América	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-locacao-joinville-bairro-santo-antonio-amplo-estacionamento-1-andar-averbada-1384427465
Prédio/galpão comercial com excelente localização no Pagani, próximo a Unisul	R$13.000,00	Palhoça, Pagani	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/predio-galpao-comercial-com-excelente-localizacao-no-pagani-proximo-a-unisul-1385586372
Galpão à Venda em Itajaí 2.625m² de Espaço Estratégico e Funcional!	R$15.753.120,00	Itajaí, Canhanduba	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-a-venda-em-itajai-2-625m-de-espaco-estrategico-e-funcional-1387377645
Sala Comercial e Escritório em Blumenau no Bairro Itoupava Norte - 1425 m²	R$35.000,00	Blumenau, Itoupava Norte	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-e-escritorio-em-blumenau-no-bairro-itoupava-norte-1425-m-1387377401
Galpão para locação/Venda no bairro Valparaíso - Blumenau	R$10.000.000,00	Blumenau, Valparaiso	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-venda-no-bairro-valparaiso-blumenau-1387377402
Galpão para locação/Venda no bairro Valparaíso - Blumenau	R$24.000,00	Blumenau, Valparaiso	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-venda-no-bairro-valparaiso-blumenau-1387377364
Galpão em laguna	R$4.800,00	Laguna	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/galpao-em-laguna-1292356816
Aluga-se barracão em Xaxim - SC	----	Xaxim	https://sc.olx.com.br/oeste-de-santa-catarina/comercio-e-industria/aluga-se-barracao-em-xaxim-sc-1387375233
ALUGUE AGORA GAPAO NOVO!	R$59.880,00	Itajaí, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/alugue-agora-gapao-novo-1387370328
sala comercial para locação no Shopping OKA - Campeche / Florianópolis	R$3.500,00	Florianópolis, Campeche	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/sala-comercial-para-locacao-no-shopping-oka-campeche-florianopolis-1387369853
Sala comercial a venda no Centro de Florianopólis	R$300.000,00	Florianópolis, Centro	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/sala-comercial-a-venda-no-centro-de-florianopolis-1387369854
Projetos e Execução de Containers Residenciais para Kitnetes	R$56.000,00	Itapema	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/projetos-e-execucao-de-containers-residenciais-para-kitnetes-1387368562
Loja Balneário Shopping IMPERDÍVEL	R$450.000,00	Balneário Camboriú, Estados	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/loja-balneario-shopping-imperdivel-1341817776
SALA TÉRREA LA BELLE TOUR RESIDENCE	R$4.500.000,00	Balneário Camboriú, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-terrea-la-belle-tour-residence-1387364651
Sala à venda Globo Tower	R$298.000,00	Florianópolis, Canto	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/sala-a-venda-globo-tower-1387360829
Sala pra Alugar Globo Tower	R$4.700,00	Florianópolis, Canto	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/sala-pra-alugar-globo-tower-1387360787
Loja Comercial no Jardim Paraíso com 348,10	R$15.000,00	Joinville, Jardim Paraíso	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/loja-comercial-no-jardim-paraiso-com-348-10-1387358339
Imóvel para aluguel com 240 metros quadrados em Itaipava - Itajaí - SC	R$6.000,00	Itajaí, Itaipava	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/imovel-para-aluguel-com-240-metros-quadrados-em-itaipava-itajai-sc-1387357161
Galpão 500m - com Escritório - Próximo BR 101	R$13.600,00	Itajaí, Salseiros	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-500m-com-escritorio-proximo-br-101-1387356605
Trailer totalmente equipado em Ingleses.	R$90.000,00	Florianópolis, São João do Rio Vermelho	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/trailer-totalmente-equipado-em-ingleses-1387354252
Loja de Conveniência e Bar - Excelente Ponto Quadra Mar	R$160.000,00	Balneário Camboriú, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/loja-de-conveniencia-e-bar-excelente-ponto-quadra-mar-1380269192
Hotel em Servidao da Rua Paraiso - Vila Esperança - Imbituba/SC	R$1.299.660,00	Imbituba	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/hotel-em-servidao-da-rua-paraiso-vila-esperanca-imbituba-sc-1387353633
Vendo pizzaria Delivery	R$250.000,00	Florianópolis, Ingleses do Rio Vermelho	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/vendo-pizzaria-delivery-1387352801
Casa Comercial para Aluguel em Barreiros	R$3.200,00	São José, Barreiros	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/casa-comercial-para-aluguel-em-barreiros-1387351437
Sala à venda, 180 m² por R$ 2.600.000,00 - Monte Alegre - Camboriú/SC	R$2.600.000,00	Camboriú, Monte Alegre	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-a-venda-180-m-por-r-2-600-000-00-monte-alegre-camboriu-sc-1387351169
Sala comercial em Rua 302 - Meia Praia - Itapema/SC	R$1.887.190,00	Itapema	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-em-rua-302-meia-praia-itapema-sc-1387349730
Galpão disponível para locação	R$10.735,00	Camboriú, Tabuleiro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-disponivel-para-locacao-1387349448
Alugo Sala Comercial com 430m² - Bairro Victor Konder	R$10.000,00	Blumenau, Victor Konder	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/alugo-sala-comercial-com-430m-bairro-victor-konder-1387345082
Aluguel de veiculo para APP	R$550,00	Forquilhinha	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/aluguel-de-veiculo-para-app-1387339990
Ponto Comercial + Modelo de Negócio para Brechó/Bazar - Centro da Palhoça	R$40.000,00	Palhoça, Centro	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/ponto-comercial-modelo-de-negocio-para-brecho-bazar-centro-da-palhoca-1387335336
Casa em container	R$62.900,00	Florianópolis, Ingleses do Rio Vermelho	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/casa-em-container-1387333666
Alugo marcenaria	R$2.800,00	São José, Ipiranga	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/alugo-marcenaria-1387333006
Sala comercial em Rua 222 - Meia Praia - Itapema/SC	R$10.999.890,00	Itapema	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-em-rua-222-meia-praia-itapema-sc-1387327797
Sala comercial em Rua 1822 - Centro - Balneário Camboriú/SC	R$849.390,00	Balneário Camboriú, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-em-rua-1822-centro-balneario-camboriu-sc-1387326462
Sala comercial em Rua Corretor Aldo Pereira da Costa - Meia Praia - Navegantes/SC	R$418.530,00	Navegantes, Meia Praia	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-em-rua-corretor-aldo-pereira-da-costa-meia-praia-navegantes-sc-1387323042
Sala comercial à venda no bairro Bananal do Sul - Guaramirim/SC	R$380.000,00	Guaramirim	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-a-venda-no-bairro-bananal-do-sul-guaramirim-sc-1206285791
Alugo Loja Comercial Térrea, 120m² - Bairro Victor Konder	R$5.500,00	Blumenau, Victor Konder	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/alugo-loja-comercial-terrea-120m-bairro-victor-konder-1387320137
SALA COMERCIAL NO EDIFICIO ASPEN - EMBRAED	R$6.900.000,00	Balneário Camboriú, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-no-edificio-aspen-embraed-1387314512
Alugo Sala Comercial, 250m² - Bairro Victor Konder	R$12.000,00	Blumenau, Victor Konder	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/alugo-sala-comercial-250m-bairro-victor-konder-1387314379
Vendo Ponto Comercial (Padaria, confeitaria e restaurante)	----	Blumenau, Fortaleza	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/vendo-ponto-comercial-padaria-confeitaria-e-restaurante-1387313935
Sala Comercial - Boa Vista	R$7.000,00	Joinville, Boa Vista	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-boa-vista-1387313420
Venda de empresa e-commerce	R$28.000,00	Biguaçu, Centro	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/venda-de-empresa-e-commerce-1387311716
Prédio para Venda, Jaguaruna / SC Praia da esplanada	R$1.300.000,00	Jaguaruna	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/predio-para-venda-jaguaruna-sc-praia-da-esplanada-1387308937
Atenção Profissionais da Estética! Linda Sala Disponível!!	R$1.800,00	Florianópolis, Itacorubi	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/atencao-profissionais-da-estetica-linda-sala-disponivel-1387308564
Sala comercial montada	R$50.003,00	Joinville, Santo Antônio	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-montada-1387303098
Vendo LOTÉRICA	R$1.500.000,00	Joinville, América	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/vendo-loterica-1383322986
Vende-se ponto comercial- Conveniência Sub Zero Ilha da Figueira	----	Jaraguá do Sul, Ilha da Figueira	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/vende-se-ponto-comercial-conveniencia-sub-zero-ilha-da-figueira-1387294436
Alugo sala próximo da Avenida Elza lucchi	R$2.500,00	Palhoça, Ponte do Imaruim	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/alugo-sala-proximo-da-avenida-elza-lucchi-1385574096
Alugo sala próximo da Avenida Elza lucchi	R$2.500,00	Palhoça, Ponte do Imaruim	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/alugo-sala-proximo-da-avenida-elza-lucchi-1385574096
ALUGA-SE CASA COMERCIAL NO CENTRO DE SÃO BENTO DO SUL	----	São Bento do Sul, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/aluga-se-casa-comercial-no-centro-de-sao-bento-do-sul-1387289714
Lojas para Locação BR 101 Barreiros - Floresta Mall - Melhor localização Gde Florianópolis	R$15.000,00	São José, Roçado	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/lojas-para-locacao-br-101-barreiros-floresta-mall-melhor-localizacao-gde-florianopolis-1379919563
Galpão em Forquilhinha 300 m área	R$5.000,00	São José, Forquilhinha	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/galpao-em-forquilhinha-300-m-area-1383907214
Clínicas Odontológicas em Curitiba e Colombo: Oportunidade de Negócio	R$1.231.000,00	Joinville, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/clinicas-odontologicas-em-curitiba-e-colombo-oportunidade-de-negocio-1354584929
Direto com proprietário Sala comercial nos ingleses. Localização privilegiada.	R$1.950,00	Florianópolis, Ingleses do Rio Vermelho	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/direto-com-proprietario-sala-comercial-nos-ingleses-localizacao-privilegiada-1387285320
Aluguel	R$1.200,00	São José, Fazenda Santo Antônio	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/aluguel-1387281662
Clínicas Odontológicas Completas e Equipadas à Venda no Paraná	R$1.231.000,00	Blumenau, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/clinicas-odontologicas-completas-e-equipadas-a-venda-no-parana-1354585541
Clínica Odontológica Equipada e Moderna à Venda em Curitiba	R$421.000,00	Joinville, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/clinica-odontologica-equipada-e-moderna-a-venda-em-curitiba-1354591816
Prédio comercial e residencial	R$2.500.000,00	Palhoça, Bela Vista	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/predio-comercial-e-residencial-1306057681
Aluga-se Sala Comercial	R$2.800,00	São José, Kobrasol	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/aluga-se-sala-comercial-1387278616
Vendo loja completa	R$60.000,00	Florianópolis, Ingleses do Rio Vermelho	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/vendo-loja-completa-1387277504
Alugo Sala comercial recém construída.	R$3.500,00	Gaspar, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/alugo-sala-comercial-recem-construida-1381561877
Aluguel 3 salas comerciais + recepção + banheiro	R$3.500,00	Jaraguá do Sul, Vila Nova	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/aluguel-3-salas-comerciais-recepcao-banheiro-1387273627
Alugo escritório em frente a BR-282 com lote lateral - em frente ao Posto Russi	R$2.100,00	Campos Novos	https://sc.olx.com.br/oeste-de-santa-catarina/comercio-e-industria/alugo-escritorio-em-frente-a-br-282-com-lote-lateral-em-frente-ao-posto-russi-1387272889
Alugo galpão armazém em Itapema novo tenho de 6 mil tambem	R$8.000,00	Itapema	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/alugo-galpao-armazem-em-itapema-novo-tenho-de-6-mil-tambem-1367752415
Restaurante Porteira Fechada( Forquilhinhas São José)	R$160.000,00	São José, Forquilhinha	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/restaurante-porteira-fechada-forquilhinhas-sao-jose-1387264061
Duas Clínicas Odontológicas À Venda no Paraná	R$1.231.000,00	Florianópolis, Centro	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/duas-clinicas-odontologicas-venda-no-parana-1354583582
Clínica Odontológica completa à Venda em Curitiba	R$421.000,00	Blumenau, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/clinica-odontologica-completa-a-venda-em-curitiba-1354591605
Ampla clínica odontológica à venda em Curitiba	R$421.000,00	Florianópolis, Centro	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/ampla-clinica-odontologica-a-venda-em-curitiba-1354591085
Loja agropecuária em Tijucas	R$140.000,00	Tijucas	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/loja-agropecuaria-em-tijucas-1380078838
